---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
1911,200,800,25,25,10,100,50,0,0.8,2250,3000
57,500,300,20,25,100,100,75,0,0.85,2500,3000
sock,650,600,20,30,10,50,50,0,0.85,1250,2000
m9,250,400,20,30,10,50,50,0,0.85,1500,2000
de,800,600,40,35,100,100,100,0,0.85,2500,3500
revolver,800,600,50,35,100,100,100,0,0.68,1000,3500
cet9,650,500,25,25,50,80,50,0,0.8,2250,3000
smg,1200,800,25,25,10,100,50,0,0.8,2250,3000
uzi,950,600,20,20,10,50,25,0,0.85,1250,2000
ak,1400,600,20,35,60,100,50,0,0.85,2000,3000
mp5,1600,400,20,30,10,25,25,0,0.85,1500,2500
p90,1900,300,20,20,10,25,75,0,0.8,1500,2500
vanas,2300,200,20,45,60,50,75,0,1,1000,3500
kross,2000,400,20,30,10,25,25,0,0.8,1500,2500
ar9,1200,800,25,25,10,100,50,0,0.8,2000,3000
shotgun,1500,600,15,15,10,25,0,0,0.67,750,1500
sawedoff,1000,600,20,25,10,50,10,0,0.33,50,400
drumshotgun,4200,100,15,15,10,25,10,0,0.67,500,1100
autoshotgun,1800,100,15,15,10,25,10,0,0.67,500,1000
ak47,2500,300,25,60,100,100,100,0,1,500,4000
ak12,2600,300,25,45,100,100,74,0,1,500,4000
ar,2700,300,20,45,100,100,75,0,1,500,4000
aug,2300,300,20,45,100,100,75,0,1,500,4000
galil,2700,300,20,45,100,100,75,0,1,500,4000
m16,2300,300,20,45,100,100,75,0,1,500,4000
vss,2200,400,20,30,10,25,25,0,1,500,4000
lmga,3000,100,20,60,100,100,75,0,1,500,4000
awp,2200,0,100,50,65,100,100,0,1,500,4000
autosniper,3500,100,35,60,100,100,100,0,1,500,4000
antitank,4800,0,200,100,100,100,100,0,1,500,4000
scar,3500,100,35,60,100,100,100,0,1,500,4000
luger,600,400,25,30,10,50,75,0,1,500,4000
tokarev,300,800,20,25,10,100,50,0,1,500,4000
webley,800,600,45,35,100,100,100,0,1,500,4000
sten,1600,400,20,30,10,25,25,0,1,500,4000
mp40,1600,400,20,30,10,25,25,0,1,500,4000
thompson,1600,400,20,30,10,25,25,0,1,500,4000
stg44,2700,300,20,40,100,100,75,0,1,500,4000
ppsh,3000,100,17,20,10,25,25,0,1,500,4000
m1garand,2400,400,35,60,100,100,100,0,1,500,4000
g43,3500,100,35,60,100,100,100,0,1,500,4000
svt40,3500,400,35,60,100,100,100,0,1,500,4000
mosin,1600,800,50,60,100,100,100,0,1,500,4000
springfield,1600,800,50,60,100,100,100,0,1,500,4000
kar98,1600,800,50,60,100,100,100,0,1,500,4000
bar,3000,100,20,60,100,100,75,0,1,500,4000
bren,3000,100,20,60,100,100,75,0,1,500,4000
dp27,3000,100,20,60,100,100,75,0,1,500,4000
mg42,3000,100,20,60,100,100,75,0,1,500,4000
rl_m1a1,4300,150,100,100,100,100,100,0,1,500,4000
rl_piat,4000,150,100,100,100,100,100,0,1,500,4000
rl_panzer,4500,150,100,100,100,100,100,0,1,500,4000
rl_rpg,4200,150,100,100,100,100,100,0,1,500,4000
smoke,300,0,0,0,0,0,0,0,1,500,4000
smoke_ru,300,0,0,0,0,0,0,0,1,500,4000
flash,200,1200,0,0,0,0,0,0,1,500,4000
flash_ru,200,1200,0,0,0,0,0,0,1,500,4000
grenade_us,600,0,0,80,90,0,0,0,1,500,4000
smoke_us,300,0,0,0,0,0,0,0,1,500,4000
grenade_ger,600,0,0,80,90,0,100,0,1,500,4000
smoke_ger,300,0,0,0,0,0,0,0,1,500,4000
grenade_svt,600,0,0,80,90,0,0,0,1,500,4000
smoke_svt,300,0,0,0,0,0,0,0,1,500,4000
grenade,600,0,0,80,90,0,0,0,1,500,4000
grenade_ru,600,0,0,80,90,0,0,0,1,500,4000
armour,650,0,50,10,0,0,75,0,1,500,4000
kevlarhelmet,1000,0,50,10,0,0,75,0,1,500,4000
supp_pistol,250,-50,0,0,0,0,0,0,1,500,4000
supp_rifle,500,-200,0,0,0,0,0,0,1,500,4000
scope,400,0,0,0,0,0,0,0,1,500,4000
grip_angled,300,-100,0,0,0,0,0,0,1,500,4000
grip_vertical,300,-150,0,0,0,0,0,0,1,500,4000
flashlight_rifle,300,-100,0,0,0,0,0,0,1,500,4000
laser_rifle,300,-100,0,0,0,0,0,0,1,500,4000
laser_pistol,300,-100,0,0,0,0,0,0,1,500,4000
acog,400,-50,0,0,0,0,0,0,1,500,4000
holo,500,-150,0,0,0,0,0,0,1,500,4000
reddot,500,-150,0,0,0,0,0,0,1,500,4000
painkillers,500,0,0,0,0,0,0,0,1,500,4000
knife,100,1200,0,0,0,0,0,0,1,500,4000
taser,500,500,10,10,0,0,0,0,1,500,4000
newtonlauncher,0,0,30,0,0,0,100,0,1,500,4000
tttknife,0,0,50,10,0,0,75,0,1,500,4000
healthstation,0,0,50,10,0,0,75,0,1,500,4000
monocular,0,0,50,10,0,0,75,0,1,500,4000
teleporter,0,0,50,10,0,0,75,0,1,500,4000
ballisticsshield,0,0,50,10,0,0,75,0,1,500,4000
flaregun,0,0,1,0,0,0,1,0,1,500,4000
dnascanner,0,0,50,10,0,0,75,0,1,500,4000
silentcet9,650,500,25,25,50,80,50,0,1,500,4000
detectivesmg,0,0,20,30,10,100,25,0,1,500,4000
tttc4,0,0,50,10,0,0,75,0,1,500,4000
goldengun,0,0,200,200,100,100,100,0,1,500,4000
grenade_dis,0,0,50,10,0,0,75,0,1,500,4000
